Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,premium_yes,plan,primary_genre,segment,segment_label,frequency_band,recommendation_band,is_high_intent,record_count
35~60,Female,6 months to 1 year,Computer or laptop,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Music,Rock,Afternoon,Sadness or melancholy,Never,Recommendations,3,Never,Technology,Story telling,Famous personalities,Medium (15-30 minutes),Very Satisfied,0,individual,Rock,0.0,Segment 0,Low,Neutral rating,0,1
35~60,Male,Less than 6 months,Tablet,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Classical,Night,Relaxation and stress relief,Several times a week,Playlists,3,Several times a week,Comedy,,Famous personalities,Short (less than 15 minutes),Satisfied,1,free,Classical,,Unsampled,High,Neutral rating,0,1
12~20,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Melody,Afternoon,Sadness or melancholy,Several times a week,Playlists,3,Daily,Comedy,Discussion,Well known individuals,,Very Dissatisfied,0,free,Melody,,Unsampled,High,Neutral rating,0,1
12~20,Male,6 months to 1 year,Tablet,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Podcast,Pop,Afternoon,Sadness or melancholy,Daily,Recommendations,5,Never,Technology,Interview,Well known individuals,Short (less than 15 minutes),Very Dissatisfied,1,student,Pop,0.0,Segment 0,High,High rating,1,1
35~60,Others,6 months to 1 year,Computer or laptop,Family Plan-Rs 179/month,Yes,,Podcast,Rock,Evening,Sadness or melancholy,Rarely,Playlists,3,Daily,Lifestyle and Health,Discussion,Well known individuals,Long (more than 30 minutes),Dissatisfied,1,family,Rock,0.0,Segment 0,Low,Neutral rating,0,1
12~20,Female,Less than 6 months,Computer or laptop,Family Plan-Rs 179/month,Yes,Family Plan-Rs 179/month,Podcast,Classical,Evening,Relaxation and stress relief,Rarely,Playlists,3,Once a week,,Interview,Both,Long (more than 30 minutes),Satisfied,1,family,Classical,,Unsampled,Low,Neutral rating,0,1
20~35,Others,1 year to 2 years,Computer or laptop,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Rock,Afternoon,Sadness or melancholy,Several times a week,Playlists,4,Never,Sports,,Well known individuals,,Dissatisfied,1,student,Rock,0.0,Segment 0,High,High rating,1,1
20~35,Female,More than 2 years,Smartphone,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Music,Jazz,Night,Sadness or melancholy,Never,Playlists,2,Rarely,,,Well known individuals,Long (more than 30 minutes),Very Dissatisfied,0,family,Jazz,0.0,Segment 0,Low,Low rating,0,1
20~35,Female,More than 2 years,Computer or laptop,Family Plan-Rs 179/month,Yes,Family Plan-Rs 179/month,Podcast,Rap,Evening,Social gatherings or parties,Once a week,Recommendations,3,Rarely,Comedy,Story telling,,Medium (15-30 minutes),Dissatisfied,1,family,Rap,,Unsampled,Medium,Neutral rating,0,1
35~60,Female,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,Yes,,Music,Pop,Afternoon,Relaxation and stress relief,Rarely,Recommendations,2,Daily,,Interview,Well known individuals,Long (more than 30 minutes),Very Dissatisfied,1,family,Pop,0.0,Segment 0,Low,Low rating,0,1
12~20,Female,More than 2 years,Tablet,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Music,Jazz,Afternoon,Social gatherings or parties,Rarely,Recommendations,5,Several times a week,Comedy,Discussion,Famous personalities,,Very Satisfied,1,free,Jazz,,Unsampled,Low,High rating,0,1
35~60,Others,Less than 6 months,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Rock,Afternoon,Sadness or melancholy,Daily,Recommendations,4,Never,Lifestyle and Health,Interview,Famous personalities,,Satisfied,1,free,Rock,,Unsampled,High,High rating,1,1
20~35,Female,6 months to 1 year,Computer or laptop,Free (ad-supported),No,,Podcast,Rock,Evening,Social gatherings or parties,Several times a week,Playlists,5,Daily,Technology,,,,Very Dissatisfied,0,free,Rock,0.0,Segment 0,High,High rating,0,1
12~20,Others,Less than 6 months,Tablet,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Podcast,Jazz,Morning,Sadness or melancholy,Several times a week,Playlists,2,Rarely,Technology,,,Medium (15-30 minutes),Neutral,0,student,Jazz,,Unsampled,High,Low rating,0,1
35~60,Male,More than 2 years,Tablet,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Classical,Evening,Social gatherings or parties,Several times a week,Playlists,1,Daily,Sports,,Both,Long (more than 30 minutes),Very Dissatisfied,0,free,Classical,,Unsampled,High,Low rating,0,1
35~60,Others,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Music,Jazz,Night,Sadness or melancholy,Rarely,Recommendations,3,Several times a week,Technology,Story telling,,Medium (15-30 minutes),Dissatisfied,1,student,Jazz,,Unsampled,Low,Neutral rating,0,1
35~60,Male,More than 2 years,Tablet,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Music,Pop,Morning,Sadness or melancholy,Never,Recommendations,5,Rarely,Comedy,Story telling,Famous personalities,Long (more than 30 minutes),Dissatisfied,0,student,Pop,,Unsampled,Low,High rating,0,1
12~20,Female,Less than 6 months,Tablet,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Classical,Night,Social gatherings or parties,Daily,Playlists,4,Once a week,Sports,Story telling,Both,Medium (15-30 minutes),Neutral,0,free,Classical,0.0,Segment 0,High,High rating,0,1
35~60,Male,More than 2 years,Tablet,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Podcast,Classical,Evening,Sadness or melancholy,Rarely,Recommendations,3,Several times a week,Technology,Story telling,,Short (less than 15 minutes),Very Satisfied,0,family,Classical,0.0,Segment 0,Low,Neutral rating,0,1
12~20,Female,Less than 6 months,Computer or laptop,Family Plan-Rs 179/month,Yes,,Podcast,Melody,Afternoon,Relaxation and stress relief,Never,Recommendations,2,Daily,Sports,Discussion,Well known individuals,,Dissatisfied,1,family,Melody,,Unsampled,Low,Low rating,0,1
35~60,Male,More than 2 years,Computer or laptop,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Podcast,Rap,Afternoon,Social gatherings or parties,Never,Playlists,5,Never,Sports,Story telling,Both,Medium (15-30 minutes),Satisfied,0,individual,Rap,,Unsampled,Low,High rating,0,1
20~35,Male,6 months to 1 year,Smartphone,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Rock,Afternoon,Social gatherings or parties,Several times a week,Playlists,4,Once a week,Comedy,,Famous personalities,,Satisfied,1,student,Rock,0.0,Segment 0,High,High rating,1,1
12~20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Rock,Evening,Relaxation and stress relief,Daily,Recommendations,2,Once a week,Comedy,Interview,,,Neutral,0,free,Rock,0.0,Segment 0,High,Low rating,0,1
12~20,Others,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Music,Jazz,Morning,Relaxation and stress relief,Several times a week,Playlists,4,Several times a week,Technology,Discussion,Well known individuals,Short (less than 15 minutes),Neutral,0,student,Jazz,,Unsampled,High,High rating,0,1
20~35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,,Podcast,Melody,Night,Sadness or melancholy,Rarely,Recommendations,4,Never,Technology,Discussion,Well known individuals,Long (more than 30 minutes),Very Satisfied,1,free,Melody,,Unsampled,Low,High rating,0,1
20~35,Female,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Podcast,Classical,Night,Sadness or melancholy,Several times a week,Playlists,1,Daily,Comedy,Story telling,,Long (more than 30 minutes),Neutral,1,family,Classical,,Unsampled,High,Low rating,0,1
35~60,Female,More than 2 years,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Music,Rock,Evening,Social gatherings or parties,Once a week,Playlists,4,Once a week,Comedy,Discussion,Both,Long (more than 30 minutes),Very Dissatisfied,1,individual,Rock,,Unsampled,Medium,High rating,0,1
20~35,Male,6 months to 1 year,Tablet,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Music,Jazz,Night,Relaxation and stress relief,Once a week,Playlists,5,Once a week,Sports,Interview,,Short (less than 15 minutes),Very Dissatisfied,1,individual,Jazz,0.0,Segment 0,Medium,High rating,0,1
12~20,Others,More than 2 years,Tablet,Individual Plan- Rs 119/month,No,,Podcast,Classical,Morning,Social gatherings or parties,Never,Recommendations,1,Daily,Technology,Story telling,Famous personalities,Long (more than 30 minutes),Satisfied,0,individual,Classical,,Unsampled,Low,Low rating,0,1
12~20,Others,1 year to 2 years,Tablet,Free (ad-supported),No,Family Plan-Rs 179/month,Music,Rap,Evening,Relaxation and stress relief,Never,Playlists,1,Once a week,Lifestyle and Health,Interview,,Short (less than 15 minutes),Dissatisfied,0,free,Rap,,Unsampled,Low,Low rating,0,1
12~20,Others,1 year to 2 years,Computer or laptop,Individual Plan- Rs 119/month,No,Family Plan-Rs 179/month,Music,Classical,Afternoon,Relaxation and stress relief,Once a week,Playlists,4,Once a week,Sports,,Famous personalities,Short (less than 15 minutes),Very Satisfied,0,individual,Classical,,Unsampled,Medium,High rating,0,1
35~60,Male,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,No,Individual Plan- Rs 119/month,Podcast,Pop,Evening,Social gatherings or parties,Rarely,Recommendations,2,Rarely,Technology,Interview,,Long (more than 30 minutes),Very Satisfied,0,student,Pop,,Unsampled,Low,Low rating,0,1
20~35,Others,More than 2 years,Computer or laptop,Individual Plan- Rs 119/month,No,Student Plan-Rs 59/month,Music,Classical,Evening,Sadness or melancholy,Rarely,Playlists,3,Rarely,Technology,Discussion,Well known individuals,,Very Dissatisfied,0,individual,Classical,,Unsampled,Low,Neutral rating,0,1
35~60,Male,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,Yes,,Music,Rock,Morning,Sadness or melancholy,Once a week,Recommendations,5,Daily,Comedy,Story telling,Both,Long (more than 30 minutes),Very Dissatisfied,1,student,Rock,0.0,Segment 0,Medium,High rating,0,1
35~60,Others,6 months to 1 year,Tablet,Individual Plan- Rs 119/month,No,Student Plan-Rs 59/month,Podcast,Classical,Night,Relaxation and stress relief,Several times a week,Recommendations,3,Several times a week,Technology,Discussion,Famous personalities,Long (more than 30 minutes),Neutral,0,individual,Classical,0.0,Segment 0,High,Neutral rating,0,1
12~20,Male,More than 2 years,Computer or laptop,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Podcast,Jazz,Night,Relaxation and stress relief,Several times a week,Playlists,4,Never,Sports,Interview,Both,Medium (15-30 minutes),Satisfied,0,family,Jazz,,Unsampled,High,High rating,0,1
20~35,Male,More than 2 years,Tablet,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Podcast,Rock,Night,Relaxation and stress relief,Rarely,Playlists,2,Never,Lifestyle and Health,Story telling,,Medium (15-30 minutes),Satisfied,1,individual,Rock,0.0,Segment 0,Low,Low rating,0,1
12~20,Female,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,No,,Podcast,Pop,Evening,Social gatherings or parties,Several times a week,Playlists,2,Rarely,Lifestyle and Health,Story telling,Both,Medium (15-30 minutes),Satisfied,0,family,Pop,0.0,Segment 0,High,Low rating,0,1
12~20,Male,Less than 6 months,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,,Podcast,Classical,Night,Relaxation and stress relief,Rarely,Recommendations,1,Never,Sports,Story telling,,Long (more than 30 minutes),Very Satisfied,1,individual,Classical,,Unsampled,Low,Low rating,0,1
35~60,Female,6 months to 1 year,Tablet,Free (ad-supported),Yes,,Music,Jazz,Evening,Sadness or melancholy,Rarely,Playlists,1,Several times a week,Lifestyle and Health,,Well known individuals,Long (more than 30 minutes),Very Satisfied,1,free,Jazz,0.0,Segment 0,Low,Low rating,0,1
12~20,Others,Less than 6 months,Smart speakers or voice assistants,Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,Pop,Morning,Sadness or melancholy,Rarely,Playlists,5,Never,Technology,Story telling,,Short (less than 15 minutes),Dissatisfied,0,free,Pop,,Unsampled,Low,High rating,0,1
12~20,Male,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,Yes,Family Plan-Rs 179/month,Podcast,Classical,Afternoon,Social gatherings or parties,Rarely,Recommendations,1,Rarely,Comedy,Story telling,Well known individuals,Medium (15-30 minutes),Satisfied,1,student,Classical,,Unsampled,Low,Low rating,0,1
35~60,Male,Less than 6 months,Tablet,Family Plan-Rs 179/month,Yes,Student Plan-Rs 59/month,Podcast,Rap,Morning,Sadness or melancholy,Daily,Recommendations,5,Several times a week,Lifestyle and Health,,Well known individuals,,Satisfied,1,family,Rap,0.0,Segment 0,High,High rating,1,1
20~35,Male,Less than 6 months,Smart speakers or voice assistants,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Podcast,Jazz,Evening,Sadness or melancholy,Daily,Recommendations,5,Daily,Comedy,Interview,Well known individuals,Medium (15-30 minutes),Very Satisfied,1,student,Jazz,,Unsampled,High,High rating,1,1
20~35,Others,6 months to 1 year,Smartphone,Free (ad-supported),No,,Music,Rap,Morning,Social gatherings or parties,Rarely,Playlists,1,Once a week,Sports,Interview,,Long (more than 30 minutes),Very Dissatisfied,0,free,Rap,,Unsampled,Low,Low rating,0,1
20~35,Others,6 months to 1 year,Tablet,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Music,Rock,Evening,Social gatherings or parties,Once a week,Recommendations,2,Never,Comedy,Discussion,Both,,Satisfied,1,family,Rock,0.0,Segment 0,Medium,Low rating,0,1
20~35,Others,6 months to 1 year,Smart speakers or voice assistants,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Podcast,Pop,Morning,Social gatherings or parties,Never,Playlists,1,Never,Lifestyle and Health,Interview,Well known individuals,Medium (15-30 minutes),Neutral,0,individual,Pop,,Unsampled,Low,Low rating,0,1
12~20,Others,1 year to 2 years,Smart speakers or voice assistants,Individual Plan- Rs 119/month,Yes,,Podcast,Rap,Night,Relaxation and stress relief,Once a week,Playlists,2,Daily,,Interview,Famous personalities,Long (more than 30 minutes),Very Satisfied,1,individual,Rap,,Unsampled,Medium,Low rating,0,1
35~60,Others,1 year to 2 years,Smartphone,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Podcast,Pop,Night,Relaxation and stress relief,Daily,Recommendations,4,Never,Comedy,Interview,Famous personalities,Medium (15-30 minutes),Very Dissatisfied,0,individual,Pop,0.0,Segment 0,High,High rating,0,1
35~60,Others,Less than 6 months,Computer or laptop,Free (ad-supported),Yes,,Music,Classical,Night,Relaxation and stress relief,Never,Playlists,2,Several times a week,Lifestyle and Health,Interview,,Long (more than 30 minutes),Dissatisfied,1,free,Classical,0.0,Segment 0,Low,Low rating,0,1
20~35,Others,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Music,Melody,Morning,Relaxation and stress relief,Never,Playlists,2,Several times a week,Comedy,,Both,,Neutral,1,free,Melody,,Unsampled,Low,Low rating,0,1
35~60,Female,Less than 6 months,Tablet,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Afternoon,Sadness or melancholy,Never,Recommendations,2,Rarely,Lifestyle and Health,Story telling,Famous personalities,Long (more than 30 minutes),Satisfied,0,free,Melody,0.0,Segment 0,Low,Low rating,0,1
20~35,Female,6 months to 1 year,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Music,Pop,Night,Sadness or melancholy,Daily,Playlists,3,Rarely,Lifestyle and Health,Discussion,Both,Long (more than 30 minutes),Very Dissatisfied,0,family,Pop,0.0,Segment 0,High,Neutral rating,0,1
20~35,Male,1 year to 2 years,Computer or laptop,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Music,Pop,Night,Relaxation and stress relief,Never,Playlists,4,Several times a week,,Interview,Famous personalities,Short (less than 15 minutes),Satisfied,1,student,Pop,,Unsampled,Low,High rating,0,1
35~60,Others,More than 2 years,Computer or laptop,Free (ad-supported),No,,Podcast,Melody,Afternoon,Relaxation and stress relief,Once a week,Recommendations,2,Rarely,,Discussion,Well known individuals,Medium (15-30 minutes),Very Dissatisfied,0,free,Melody,,Unsampled,Medium,Low rating,0,1
20~35,Female,Less than 6 months,Tablet,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Music,Rock,Afternoon,Social gatherings or parties,Rarely,Recommendations,3,Several times a week,,Interview,Famous personalities,,Dissatisfied,0,family,Rock,,Unsampled,Low,Neutral rating,0,1
12~20,Female,1 year to 2 years,Tablet,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Podcast,Rock,Night,Sadness or melancholy,Rarely,Recommendations,4,Rarely,,Interview,Both,,Very Dissatisfied,0,student,Rock,,Unsampled,Low,High rating,0,1
20~35,Others,1 year to 2 years,Tablet,Family Plan-Rs 179/month,No,Individual Plan- Rs 119/month,Music,Melody,Evening,Social gatherings or parties,Never,Recommendations,1,Rarely,Lifestyle and Health,,,Medium (15-30 minutes),Dissatisfied,0,family,Melody,,Unsampled,Low,Low rating,0,1
35~60,Male,6 months to 1 year,Smartphone,Family Plan-Rs 179/month,No,,Music,Rock,Morning,Social gatherings or parties,Daily,Playlists,4,Rarely,,Story telling,Well known individuals,Short (less than 15 minutes),Very Dissatisfied,0,family,Rock,,Unsampled,High,High rating,0,1
20~35,Female,1 year to 2 years,Computer or laptop,Student Plan-Rs 59/month,No,,Podcast,Rap,Morning,Relaxation and stress relief,Rarely,Playlists,3,Several times a week,Sports,,Famous personalities,,Very Dissatisfied,0,student,Rap,,Unsampled,Low,Neutral rating,0,1
20~35,Others,More than 2 years,Tablet,Free (ad-supported),Yes,,Music,Rap,Morning,Social gatherings or parties,Once a week,Playlists,3,Once a week,Comedy,,Both,,Very Satisfied,1,free,Rap,,Unsampled,Medium,Neutral rating,0,1
35~60,Female,More than 2 years,Computer or laptop,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Music,Rap,Afternoon,Relaxation and stress relief,Rarely,Playlists,2,Once a week,Technology,Interview,Both,Medium (15-30 minutes),Neutral,0,individual,Rap,0.0,Segment 0,Low,Low rating,0,1
12~20,Female,More than 2 years,Smartphone,Individual Plan- Rs 119/month,No,Individual Plan- Rs 119/month,Music,Melody,Afternoon,Social gatherings or parties,Never,Playlists,4,Never,Comedy,Story telling,,Short (less than 15 minutes),Satisfied,0,individual,Melody,0.0,Segment 0,Low,High rating,0,1
12~20,Female,1 year to 2 years,Smart speakers or voice assistants,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Rock,Afternoon,Social gatherings or parties,Rarely,Playlists,4,Never,Technology,Interview,,Short (less than 15 minutes),Very Satisfied,0,free,Rock,,Unsampled,Low,High rating,0,1
12~20,Male,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,No,Individual Plan- Rs 119/month,Music,Jazz,Afternoon,Relaxation and stress relief,Once a week,Playlists,3,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Medium (15-30 minutes),Neutral,0,student,Jazz,,Unsampled,Medium,Neutral rating,0,1
20~35,Male,Less than 6 months,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Family Plan-Rs 179/month,Music,Rap,Morning,Relaxation and stress relief,Never,Recommendations,5,Rarely,Lifestyle and Health,Story telling,Famous personalities,Short (less than 15 minutes),Neutral,0,family,Rap,,Unsampled,Low,High rating,0,1
12~20,Female,1 year to 2 years,Tablet,Individual Plan- Rs 119/month,Yes,Family Plan-Rs 179/month,Podcast,Classical,Morning,Sadness or melancholy,Rarely,Recommendations,2,Rarely,Sports,,Both,,Neutral,1,individual,Classical,,Unsampled,Low,Low rating,0,1
20~35,Male,6 months to 1 year,Tablet,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Podcast,Classical,Afternoon,Relaxation and stress relief,Daily,Recommendations,5,Once a week,Comedy,Interview,Well known individuals,Medium (15-30 minutes),Dissatisfied,0,family,Classical,0.0,Segment 0,High,High rating,0,1
35~60,Others,1 year to 2 years,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Music,Jazz,Night,Sadness or melancholy,Several times a week,Playlists,5,Once a week,Sports,Interview,Well known individuals,Short (less than 15 minutes),Dissatisfied,1,free,Jazz,,Unsampled,High,High rating,1,1
12~20,Female,6 months to 1 year,Tablet,Family Plan-Rs 179/month,No,,Music,Rock,Evening,Relaxation and stress relief,Once a week,Playlists,4,Once a week,Lifestyle and Health,Discussion,Famous personalities,,Very Dissatisfied,0,family,Rock,0.0,Segment 0,Medium,High rating,0,1
35~60,Male,1 year to 2 years,Smart speakers or voice assistants,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Music,Rap,Morning,Relaxation and stress relief,Daily,Recommendations,5,Several times a week,,Interview,,Short (less than 15 minutes),Satisfied,0,student,Rap,0.0,Segment 0,High,High rating,0,1
20~35,Others,More than 2 years,Computer or laptop,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Music,Pop,Evening,Social gatherings or parties,Several times a week,Recommendations,2,Daily,Comedy,Discussion,Well known individuals,Medium (15-30 minutes),Dissatisfied,0,student,Pop,0.0,Segment 0,High,Low rating,0,1
12~20,Others,More than 2 years,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Music,Classical,Morning,Social gatherings or parties,Daily,Recommendations,3,Daily,Technology,Discussion,Both,Short (less than 15 minutes),Neutral,0,family,Classical,,Unsampled,High,Neutral rating,0,1
12~20,Others,Less than 6 months,Tablet,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Podcast,Jazz,Evening,Relaxation and stress relief,Once a week,Playlists,4,Once a week,Sports,Discussion,Famous personalities,Long (more than 30 minutes),Very Satisfied,1,individual,Jazz,0.0,Segment 0,Medium,High rating,0,1
20~35,Female,Less than 6 months,Smartphone,Family Plan-Rs 179/month,Yes,,Music,Melody,Night,Sadness or melancholy,Once a week,Recommendations,2,Rarely,Sports,Discussion,Both,Long (more than 30 minutes),Dissatisfied,1,family,Melody,,Unsampled,Medium,Low rating,0,1
12~20,Male,Less than 6 months,Tablet,Family Plan-Rs 179/month,Yes,Individual Plan- Rs 119/month,Music,Rap,Morning,Social gatherings or parties,Several times a week,Playlists,4,Several times a week,Lifestyle and Health,,,Long (more than 30 minutes),Dissatisfied,1,family,Rap,,Unsampled,High,High rating,1,1
20~35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Podcast,Jazz,Night,Social gatherings or parties,Never,Playlists,1,Several times a week,Lifestyle and Health,,Well known individuals,Short (less than 15 minutes),Very Dissatisfied,0,free,Jazz,,Unsampled,Low,Low rating,0,1
12~20,Others,More than 2 years,Tablet,Student Plan-Rs 59/month,No,,Music,Rap,Afternoon,Relaxation and stress relief,Daily,Playlists,5,Daily,,Interview,Both,,Neutral,0,student,Rap,,Unsampled,High,High rating,0,1
20~35,Others,Less than 6 months,Computer or laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Podcast,Classical,Afternoon,Social gatherings or parties,Never,Recommendations,2,Once a week,,Story telling,Both,Long (more than 30 minutes),Dissatisfied,1,free,Classical,,Unsampled,Low,Low rating,0,1
12~20,Male,More than 2 years,Smartphone,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Pop,Morning,Relaxation and stress relief,Rarely,Playlists,4,Never,Comedy,Discussion,,Long (more than 30 minutes),Very Dissatisfied,1,student,Pop,,Unsampled,Low,High rating,0,1
12~20,Others,1 year to 2 years,Smartphone,Student Plan-Rs 59/month,No,Family Plan-Rs 179/month,Podcast,Melody,Morning,Social gatherings or parties,Rarely,Recommendations,3,Several times a week,Lifestyle and Health,Story telling,Well known individuals,,Satisfied,0,student,Melody,0.0,Segment 0,Low,Neutral rating,0,1
35~60,Male,Less than 6 months,Tablet,Student Plan-Rs 59/month,No,,Podcast,Pop,Night,Social gatherings or parties,Rarely,Playlists,4,Never,Comedy,,Both,,Very Satisfied,0,student,Pop,,Unsampled,Low,High rating,0,1
35~60,Others,More than 2 years,Computer or laptop,Free (ad-supported),Yes,,Music,Rap,Afternoon,Social gatherings or parties,Never,Recommendations,4,Once a week,Lifestyle and Health,,Well known individuals,Short (less than 15 minutes),Dissatisfied,1,free,Rap,0.0,Segment 0,Low,High rating,0,1
20~35,Male,Less than 6 months,Smart speakers or voice assistants,Family Plan-Rs 179/month,Yes,,Music,Jazz,Night,Relaxation and stress relief,Several times a week,Recommendations,3,Several times a week,Lifestyle and Health,Discussion,,,Very Dissatisfied,1,family,Jazz,,Unsampled,High,Neutral rating,0,1
20~35,Others,More than 2 years,Tablet,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Podcast,Classical,Afternoon,Relaxation and stress relief,Once a week,Playlists,5,Once a week,Technology,,,Medium (15-30 minutes),Satisfied,1,student,Classical,,Unsampled,Medium,High rating,0,1
20~35,Others,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Individual Plan- Rs 119/month,Podcast,Jazz,Morning,Social gatherings or parties,Several times a week,Recommendations,4,Once a week,Technology,Story telling,Both,,Satisfied,1,free,Jazz,,Unsampled,High,High rating,1,1
20~35,Male,Less than 6 months,Smart speakers or voice assistants,Family Plan-Rs 179/month,No,Student Plan-Rs 59/month,Music,Pop,Evening,Social gatherings or parties,Several times a week,Recommendations,4,Once a week,Lifestyle and Health,,Well known individuals,Medium (15-30 minutes),Satisfied,0,family,Pop,,Unsampled,High,High rating,0,1
35~60,Male,6 months to 1 year,Tablet,Student Plan-Rs 59/month,Yes,Individual Plan- Rs 119/month,Music,Rap,Evening,Social gatherings or parties,Several times a week,Playlists,1,Rarely,Technology,Discussion,,Medium (15-30 minutes),Very Satisfied,1,student,Rap,,Unsampled,High,Low rating,0,1
35~60,Others,1 year to 2 years,Tablet,Individual Plan- Rs 119/month,Yes,Student Plan-Rs 59/month,Podcast,Pop,Afternoon,Relaxation and stress relief,Once a week,Recommendations,4,Never,,,Both,Medium (15-30 minutes),Satisfied,1,individual,Pop,,Unsampled,Medium,High rating,0,1
12~20,Male,More than 2 years,Computer or laptop,Free (ad-supported),No,Individual Plan- Rs 119/month,Podcast,Pop,Evening,Sadness or melancholy,Rarely,Playlists,4,Once a week,Comedy,Discussion,,Medium (15-30 minutes),Satisfied,0,free,Pop,0.0,Segment 0,Low,High rating,0,1
35~60,Male,6 months to 1 year,Computer or laptop,Student Plan-Rs 59/month,No,Student Plan-Rs 59/month,Podcast,Rock,Morning,Social gatherings or parties,Several times a week,Recommendations,3,Never,,Discussion,,Medium (15-30 minutes),Very Dissatisfied,0,student,Rock,0.0,Segment 0,High,Neutral rating,0,1
12~20,Female,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Rock,Morning,Social gatherings or parties,Rarely,Playlists,5,Several times a week,Sports,Discussion,Well known individuals,Short (less than 15 minutes),Satisfied,1,free,Rock,,Unsampled,Low,High rating,0,1
20~35,Female,6 months to 1 year,Tablet,Student Plan-Rs 59/month,Yes,Student Plan-Rs 59/month,Podcast,Classical,Night,Social gatherings or parties,Once a week,Recommendations,2,Rarely,Technology,Interview,,,Satisfied,1,student,Classical,,Unsampled,Medium,Low rating,0,1
